title	rate	director	actor	category	showtime	length	box office	award	description
记忆大师	7.2	陈正道	黄渤/段奕宏/徐静蕾/杨子姗/梁杰理/许玮甯/王真儿/焦刚/张念骅/杜函梦/栾元晖/曹英睿	剧情/悬疑/惊悚/犯罪	2017	119	29291	0	故事发生在2025年，因为和妻子张代晨（徐静蕾 饰）婚姻破裂，男主角江丰（黄渤 饰）走进记忆大师医疗中心接受手术，却不料手术失误记忆被错误重载，他莫名其妙变成了“杀人凶手”。警官沈汉强（段奕宏 饰）的穷追不舍让他逐渐发现，自己脑内的错误记忆不仅是破案的关键，更是救赎自己的唯一希望。与此同时，妻子身边出现的女人陈姗姗（杨子姗 饰）、记忆中浮现出的神秘女子（许玮甯 饰），似乎也和真相有着千丝万缕的联系，一场记忆烧脑战也随之开始。
目击者之追凶	8.1	程伟豪	庄凯勋/许玮甯/柯佳嬿/李铭顺/李淳/陈彦允/郑志伟/汤志伟/卜国耕	悬疑/惊悚/犯罪	2017	117	8500	0	冲劲十足、富有野心的社会线记者小齐，在报导一则事故车还魂新闻时，意外发现9年前一宗肇事逃逸命案并不单纯，虽然提案不被长官邱哥重视，但相信直觉的小齐找上菜鸟警员阿纬帮忙，并说服女主管Maggie连手调查当年的真相。当小齐、Maggie 好不容易找到命案中唯一生还的受害者徐爱婷，并取得采访同意后 ，徐爱婷却无故失踪了…到底九年前被隐瞒的真相是什么？
逆时营救	4.8	尹鸿承	杨幂/霍建华/金士杰/刘畅/张艺瀚/王俐丹	动作/科幻	2017	106	20123	0	单亲妈妈夏天（杨幂 饰）作为物理研究所的高级研究员，与所长共同研究出可使生物体穿越虫洞进行时间旅行的技术，当研究有了突破性进展时，儿子豆豆（张艺瀚 饰）却被神秘绑匪崔琥（霍建华 饰）绑架，为了挽救豆豆的生命，夏天冒险用未完成的粒子技术 返回1小时50分钟前，却令事情变得更加复杂，更遭遇到意想不到的困局：要去面对三个自己在时空旅行中的变异互博。而崔琥的背后故事也渐渐浮出水面……
喜欢你	7	许宏宇	金城武/周冬雨/孙艺洲/奚梦瑶/杨祐宁/张国柱/高晓松/林志玲/赵英俊/海佟	喜剧/爱情	2017	106	21074	0	一场意外让平凡的厨师顾胜男（周冬雨 饰）结识了霸道总裁路晋（金城武 饰）。之后，路晋入住了顾胜男所在的酒店，在并不知晓对方真实身份的情况下，顾胜男用一道“女巫汤”征服了路晋挑剔的味蕾，一位厨师和一位食客，两人在美食的联结下产生了奇妙的缘分。/                                    /                                　　路晋的失眠症日益严重，一次偶然中，他发现自己竟然在顾胜男家的沙发上酣然入睡，从此，这张沙发便成为了他的专属床位。随着时间的推移，在一餐一饭之中，顾胜男和路晋之间渐渐产生了懵懂的感情。然而路晋在父亲严苛而又独裁的教育下长大，顾胜男则向来大大咧咧毛手毛脚，个性和身份迥异的他们压抑着内心的感情，由此生出了诸多的误会。
“吃吃”的爱	5.6	蔡康永	徐熙娣/林志玲/金世佳/李子峰/陈汉典/范湉湉/傅雷/沈玉琳/梁赫群/赵正平/高山峰/马国贤/利晴天/曾恺玹/陈为民/小钟/谢依霖/仇佩佩/小甜甜/黄腾浩/郭文颐/张立东/杨升达/韩宜邦	喜剧/爱情/奇幻	2017	90	2750	0	想要在巨星姐姐面前证明自己的18线小演员上官娣娣（徐熙娣 饰），和多年期待真爱却在最后被狠狠出卖的空间站黑鸟面馆老板娘许春梅（徐熙娣 饰），当两个人的世界以想象不到的方式不期而遇，她们的命运会发生什么样的改变?
春娇救志明	7.2	彭浩翔	余文乐/杨千嬅/蒋梦婕/曾国祥/邵音音/秦沛/王晓晨/李程彬	剧情/喜剧/爱情	2017	121	17554	0	2009年，春娇志明后巷邂逅，演绎烟火世界中的极致浪漫。/                                    /                                　　2017年，饮食男女分分合合，志明仍未长大，春娇急需爱情救火。/                                    /                                　　相恋多年的春娇与志明，渐渐从“可遇不可求”的惊涛骇浪变成了普通的情侣。面临“中女危机”的春娇，深感颜值危机，可志明却还如同孩子一般无法长大。不仅两人平日生活磕磕绊绊不断，让春娇更为担心的是，家里的神秘来访者Flora不仅年轻漂亮，神经大条，还要跟志明借精生子。/                                    /                                　　想要修补二人关系的春娇策划了一场“重燃爱火”的台湾行，在台湾，两人的矛盾才刚刚开始……/                                    /                                　　八年爱情紧急SOS！世间红男绿女，且看春娇志明。/                                    /                                　　“志明与春娇”系列第三部温暖回归，好久不见，好救不贱！
嫌疑人X的献身	6.4	苏有朋	王凯/张鲁一/林心如/叶祖新/丁冠森/邓恩熙/成泰燊/赵阳/侯明昊/焉栩嘉/任熙青/李炳易/李宏/赵燕国彰	悬疑/犯罪	2017	112	40202	0	在刑警学院任职的物理天才唐川（王凯 饰）与中学教师石泓（张鲁一 饰）年少相识，因彼此对数学的共同兴趣而惺惺相惜，多年后唐川在调查一桩杀人案时， 身为石泓邻居的陈婧（林心如 饰）被列入警方的“嫌疑人”之中，石泓与唐川因此再度重逢，而唐川却在调查中发现了更大的秘密……被迫站在对立面的唐川、石泓由此展开了一场高智商对决，一步步推动故事走向既震撼人心又令人扼腕的结局。
美好的意外	5.5	何蔚庭	桂纶镁/王景春/欧阳娜娜/王元也/陈坤	喜剧/奇幻	2017	105	1762	0	李雨燃（桂纶镁 饰）是一位优秀的成功律师，过着高质量的白领单身生活，正在有条不紊地准备去海外留学充电，对美好的未来抱着无限的自信与憧憬。然而一次意外，让她发现自己置身于一个奇怪的场所——命运中转站，等待她的是一个意想不到的身份转变：全职太太。她的老公张涛（陈坤 饰 ）是一 位勤恳老实的设计师，女儿星星（欧阳娜娜 饰）是一个叛逆的青春期少女，儿子天天（王元也 饰）是一个天真温暖的男孩。从一位优秀的职业女性突然变成一个要照顾四口之家的家庭主妇的角色，雨燃从一开始强硬的抗拒、不适应到后来慢慢融入，开始用心温柔关爱家人。而当期限来临，转变后的李雨燃又将面临新的选择······
我不是潘金莲	6.7	冯小刚	范冰冰/郭涛/大鹏/张嘉译/于和伟/张译/李宗翰/赵立新/田小洁/范伟/高明/刘桦/黄建新/李晨	剧情/喜剧	2016	140	48372	"1,3"	一个普通的农村妇女李雪莲（范冰冰 饰），为了纠正一句话，与上上下下、方方面面打了十年交道。打交道的过程中，她没想到一件事变成了另一件事，接着变成了第三件事。十年过去，她没有把这句话纠正过来，但她饱尝了世间的人情冷暖，悟明白了另外一个道理。李雪莲要纠正的这句话是她前夫说的。她前夫说：你是李雪莲吗？我咋觉得你是潘金莲呢？李雪莲要告诉大家的是：我不是潘金莲。
傲娇与偏见	5.1	李海蜀 / 黄彦威	迪丽热巴/张云龙/高伟光/金晨/马薇薇/范湉湉/披拉·尼迪裴善官/周海媚/樊野/李彧	喜剧/爱情	2017	108	12425	0	北漂网络写手唐楠楠（迪丽热巴 饰）脑洞大于常人，整日穿行在各种“白日梦”之中，梦想着有一天能成为网文大神，然而在她误打误撞毁掉了贱萌海龟男朱侯（张云龙 饰）为追求女神精心布置的告白仪式之后，这对冤家阴差阳错之下被迫带着各自的傲娇与偏见开始了同居生活。朱侯的高富帅好基友萧见君（高伟光 饰）因对唐楠楠一见钟情展开猛烈攻势，却不料遭到朱侯再三阻挠。当“傲娇”任性撞上“偏见”无理，一场鸡飞狗跳的脱线恋情正在袭来，一次跨越银河系的世纪大和解即将上演。
